directors.director_name
Quentin Tarantino
Rick Alverson
Ernie Barbarash
Tanya Wexler
Lynn Shelton
Thomas McCarthy
Alex Chandon
Sean Durkin
Nicole Kassell
Paul Scheuring
Jim Mickle
David Schwimmer
John Curran
Richard Ayoade
Christopher Smith
Andrea Arnold
Daniel Barber
Fatih Akin
Yvan Attal
Randall Balsmeyer
Shunji Iwai
Wen Jiang
Shekhar Kapur
Joshua Marston
Mira Nair
Natalie Portman
Michael Winterbottom
Tommy Wiseau
Allison Anders
Alexandre Rockwell
Alex Cox
Jerry Schatzberg
Martha Coolidge
Rob Thomas
Mike Hodges
Noel Black
Andrei Tarkovsky
Lawrence Kasdan
Peter Faiman
Howard Deutch
Christopher Cain
John Waters
Stephen Hopkins
Jon Avnet
Mick Jackson
Duwayne Dunham
Jane Campion
Brian Levant
Mike Figgis
Forest Whitaker
Mike Nichols
Peter Cattaneo
Michael Caton-Jones
Mark A.Z. Dippé
Gary Ross
Mark Pellington
Josef Rusnak
David O. Russell
Ben Younger
Nick Park
Pat O'Connor
Michael Lehmann
Steve Beck
Wayne Wang
Luis Mandoki
Marc Lawrence
Jon Amiel
Peter Howitt
Aaron Blaise
Robert Walker
Stephen Hillenburg
Darren Grant
John Maybury
Elizabeth Allen Rosenbaum
James Gartner
Bill Condon
Joby Harold
Robert Ben Garant
Scott Wiper
Lajos Koltai
Martin Weisz
Scott Frank
Steve Bendelack
Mennan Yapo
Jon Poll
Ed Harris
Robert B. Weide
Anthony Leondis
Carter Smith
Gina Prince-Bythewood
Robert Stevenhagen
Jody Hill
Steve Shill
Scott Cooper
Michael Lembeck
Sngmoo Lee
Don Hall
Chris Kentis
Laura Lau
Alex Kendrick
Daniel Barnz
Jeff Renfroe
Eduardo Rodriguez
Kimble Rendall
Perry Bhandal
David Weaver
Keoni Waxman
Aaron Harvey
Bruce Beresford
Kenneth Lonergan
Mike Gunther
Oren Moverman
Michael Knowles
Jon Hewitt
Douglas Aarniokoski
Whit Stillman
Adam Green
Massy Tadjedin
James Keach
Emilio Estevez
Sebastian Gutierrez
David Michôd
John Stalberg
William Monahan
Stuart Hazeldine
Ben Ramsey
Betty Thomas
Rick Jacobson
Scott Mann
Scott Sanders
Gregg Araki
Gregory Wilson
David Ross
Mark Mylod
Desmond Davis
Ryan Gosling
Tobe Hooper
Just Jaeckin
Sean S. Cunningham
Lou Adler
Tommy Chong
Savage Steve Holland
Michael Schultz
Tom Holland
Mary Lambert
Harry Hook
Alan J. Pakula
Jack Bender
Bernard Rose
Annabel Jankel
Rocky Morton
Steven E. de Souza
Andrew Fleming
James Foley
Luis Llosa
Robert Townsend
John R. Leonetti
David Mirkin
Will Finn
Don Paul
Jeffrey Katzenberg
Roger Spottiswoode
Eric Leighton
Ralph Zondag
Robert Altman
Callie Khouri
Marcus Raboy
Ed Decter
David McNally
Kevin Costner
Carl Franklin
Pitof
Tommy O'Haver
Sean McNamara
Don Mancini
John Polson
Florent-Emilio Siri
Clare Kilner
Susan Stroman
Steve Box
Richard Loncraine
Phil Joanou
Tony Goldwyn
Jessica Bendinger
Pedro Almodóvar
Richard Eyre
Oliver Hirschbiegel
Kevin Munroe
David Moreau
Xavier Palud
Jeff Lowell
Mark Palansky
Christine Jeffs
Michael McCullers
Oxide Pang Chun
Danny Pang
Marcel Langenegger
Gavin O'Connor
Craig Mazin
Diane English
Susanna White
Douglas McGrath
Todd Graff
Gregg Godfrey
Jeremy Rawle
Scott Walker
Brad Furman
Kieran Darcy-Smith
Ben Drew
David Brooks
Craig Viveiros
Phil Dorling
Ron Nyswaner
Gabe Torres
Johannes Roberts
Jeremy Power Regimbal
Michael Jai White
Don Handfield
Joseph Kahn
Dexter Fletcher
Elgin James
Michael Pavone
Benedek Fliegauf
Isaac Florentine
Ben Stassen
Kyle Newman
Agnieszka Wojtowicz-Vosloo
David Pastor
Àlex Pastor
Max Mayer
Nick Hurran
John Cameron Mitchell
Neil Armfield
Rob Schneider
Michael Dougherty
Ryûhei Kitamura
Barbara Kopple
Tony Giglio
Greg Marcks
Keith Gordon
Hal Needham
Ruggero Deodato
Billy Wilder
Blake Edwards
Carl Reiner
Ken Finkleman
Peter Hyams
Richard Fleischer
Jerry Zucker
George Ogilvie
Burny Mattinson
David Michener
David Anspaugh
George Scribner
Ate de Jong
Michael Pressman
Charles Shyer
Thom Eberhardt
Bill Kroyer
Emile Ardolino
Simon Wincer
Bill Duke
John Pasquin
Tim Robbins
Gregory Widen
Beeban Kidron
Ted Demme
Jason Bloom
George Armitage
Kinka Usher
Art Vitello
Hironobu Sakaguchi
Motonori Sakakibara
Gregory Poirier
Jeff Tremaine
Michael Rymer
Yimou Zhang
Chris Stokes
Hideo Nakata
Greg Mclean
Bruce Hunt
Gary David Goldberg
Niki Caro
Barry W. Blaustein
Chris Robinson
Frank Marshall
Michael Polish
Chris Sivertson
Jon Kasdan
Shari Springer Berman
Robert Pulcini
Marco Schnabel
George C. Wolfe
Chris Carter
Aristomenis Tsirbas
Zach Cregger
Trevor Moore
Stewart Hendler
Nelson McCormick
Anthony Bell
Ben Gluck
Tom Dey
Mike Disa
Roman Coppola
Maxim Korostyshevsky
Shinji Aramaki
Daryl Wein
George Gallo
Jon Wright
Patricia Riggen
Antonio Negret
Mike Flanagan
Michael Winnick
Andrew Erwin
Jon Erwin
Julian Gilbey
Matthew Chapman
William Kaufman
Rodrigo García
Michael Goldbach
Robert Lieberman
Derrick Borte
Tim Blake Nelson
Ol Parker
John Crowley
Charlie Kaufman
Chuck Konzelman
Cary Solomon
Jeff Fisher
Eric Amadio
Simon Brand
Jay Lee
Shane Abbess
Gadi Harel
Tom Putnam
Edward Lachman
James Ivory
Ramón Menéndez
Clenet Verdi-Rose
Alejandro Jodorowsky
Harold Becker
Robert Benton
Willard Huyck
Michael Gottlieb
Gary Goddard
Sidney J. Furie
Buddy Van Horn
Hendel Butoy
Mike Gabriel
Jeff Pollack
Sam Weisman
Kevin Lima
Robert Longo
Lesli Linka Glatter
Rachel Talalay
Ernest R. Dickerson
Stanley Tong
Mel Smith
Stuart Baird
Michael Patrick Jann
Roger Christian
Matt Williams
Gil Junger
Irwin Winkler
Bill Paxton
Roger Michell
Barbet Schroeder
Lorna Cook
Kevin Donovan
Gary Hardwick
Bille Woodruff
Vadim Perelman
Guy Ferland
Joseph Ruben
Peter Hewitt
Kerry Conran
Greg Coolidge
Liz Friedlander
Anthony Russo
Joe Russo
Michael O. Sajbel
Glen Morgan
Doug Lefler
Eric Valette
Deb Hagan
David Mamet
Masayuki Ochiai
John Schultz
Quentin Dupieux
Daniel St. Pierre
Rufus Norris
Ry Russo-Young
Luis Prieto
Hany Abu-Assad
Brandon Nutt
Charles Matthau
Kat Coiro
Adam Kassen
Mark Kassen
Justin Kurzel
Dermot Mulroney
Carlo Ledesma
Michael Goi
Brian Crano
Julien Magnat
Taylor Sheridan
Jacob Aaron Estes
Eduardo Sánchez
Noah Baumbach
Guy Moshe
Nick Tomnay
Julie Taymor
Bo Zenga
Raymond De Felitta
Jeff King
Klay Hall
J Blakeson
Goran Dukic
David Leland
Martin Gero
Gilles Bourdos
Matthew O'Callaghan
